,Accuracy,Sampling
0,0.2029,Individual
1,0.2057,Individual
2,0.1958,Individual
3,0.1937,Individual
4,0.1916,Individual
5,0.1783,Individual
6,0.1893,Individual
7,0.1898,Individual
8,0.1886,Individual
9,0.1975,Individual
10,0.187,Cooperative
11,0.1994,Cooperative
12,0.1914,Cooperative
13,0.1986,Cooperative
14,0.1956,Cooperative
15,0.1865,Cooperative
16,0.198,Cooperative
17,0.1849,Cooperative
18,0.2026,Cooperative
19,0.1929,Cooperative
20,0.2044,Interactive
21,0.1879,Interactive
22,0.1876,Interactive
23,0.2018,Interactive
24,0.1975,Interactive
25,0.1931,Interactive
26,0.1961,Interactive
27,0.2,Interactive
28,0.1957,Interactive
29,0.191,Interactive
30,0.2038,Uniform
31,0.1986,Uniform
32,0.1941,Uniform
33,0.1922,Uniform
34,0.1841,Uniform
35,0.1927,Uniform
36,0.1996,Uniform
37,0.1898,Uniform
38,0.1949,Uniform
39,0.1961,Uniform
