,L2,Round
0,0.17334935823359715,0
1,0.06103277807866851,1
2,0.05296749527356901,2
3,0.04805595696685271,3
4,0.045934736311423405,4
5,0.0481606109226663,5
6,0.04660953743164415,6
7,0.04879805323985784,7
8,0.04361730316975671,8
9,0.04556314299957807,9
10,0.04763410820476027,10
11,0.17334935823359715,0
12,0.05315072906367325,1
13,0.025055493963954848,2
14,0.015103807466993215,3
15,0.013784048752090222,4
16,0.010069204977995476,5
17,0.009422075684480656,6
18,0.006903350635742038,7
19,0.006712803318663652,8
20,0.005656854249492381,9
21,0.006492207662311682,10
22,0.17334935823359715,0
23,0.07245688373094719,1
24,0.05537749241945383,2
25,0.04914900812834375,3
26,0.04017461885320133,4
27,0.04318886173283313,5
28,0.04457280217663627,6
29,0.04801529704167204,7
30,0.047022453265552946,8
31,0.0416593326878864,9
32,0.042601361868581746,10
33,0.17334935823359715,0
34,0.07516648189186453,1
35,0.051532082779134354,2
36,0.04663689526544408,3
37,0.040792156108742275,4
38,0.04529226080567064,5
39,0.04465285602310796,6
40,0.04566351114401957,7
41,0.042586150881637336,8
42,0.042101068870041766,9
43,0.04314112915528972,10
44,0.17334935823359715,0
45,0.06946221994724902,1
46,0.053124591501697425,2
47,0.06234981956669963,3
48,0.07078135347674555,4
49,0.07754926749421227,5
50,0.07483314773547883,6
51,0.07396156096243507,7
52,0.07823279600251017,8
53,0.07843468620451031,9
54,0.07787466089760747,10
55,0.17334935823359715,0
56,0.05590169943749475,1
57,0.03519785346990479,2
58,0.02462214450449026,3
59,0.01708800749063506,4
60,0.021180441711898056,5
61,0.018844151368961313,6
62,0.01769975282313287,7
63,0.016905693394114376,8
64,0.012806248474865696,9
65,0.01244823994329923,10
66,0.17334935823359715,0
67,0.052915026221291815,1
68,0.022110831935702666,2
69,0.02481179155159901,3
70,0.018275666882497068,4
71,0.015634719199411434,5
72,0.01414213562373095,6
73,0.015309310892394862,7
74,0.014824071182362593,8
75,0.01649242250247064,9
76,0.01304790917673393,10
77,0.17334935823359715,0
78,0.06244997998398398,1
79,0.0404145188432738,2
80,0.051478150704935006,3
81,0.05253570214625479,4
82,0.05360607345358463,5
83,0.04757378801527632,6
84,0.050806003582253935,7
85,0.04847679857416329,8
86,0.04886205071423016,9
87,0.046292280205360054,10
88,0.17334935823359715,0
89,0.05396758286230725,1
90,0.02748737083745107,2
91,0.01928406077567689,3
92,0.012409673645990858,4
93,0.009860132971832693,5
94,0.01336306209562122,6
95,0.00790569415042095,7
96,0.008012336167697753,8
97,0.005338539126015656,9
98,0.004679831882266818,10
99,0.17334935823359715,0
100,0.08253787009609588,1
101,0.053696678978623374,2
102,0.04589389937671455,3
103,0.0397994974842648,4
104,0.030686587732536613,5
105,0.021946130708196024,6
106,0.0131398725260179,7
107,0.01018350154434631,8
108,0.012629330940315089,9
109,0.010965761892558925,10
