,L2,Round
0,0.17334935823359715,0
1,0.09069178573608527,1
2,0.08485281374238571,2
3,0.08609587678861282,3
4,0.0816333265278342,4
5,0.08018208444949948,5
6,0.07462833078062273,6
7,0.07322909257938405,7
8,0.07053586776935057,8
9,0.06827151675479314,9
10,0.06487113736331372,10
11,0.17334935823359715,0
12,0.07664854858377945,1
13,0.051639777949432225,2
14,0.03877015604817706,3
15,0.03120897306865447,4
16,0.023629078131263043,5
17,0.018405855323893036,6
18,0.017897276329095442,7
19,0.01706921277304135,8
20,0.016911534525287764,9
21,0.017498524140836507,10
22,0.17334935823359715,0
23,0.10204165815979276,1
24,0.06980130530457308,2
25,0.06432340165134304,3
26,0.05931273050534767,4
27,0.048762462794425976,5
28,0.04089558630942753,6
29,0.04340038882314305,7
30,0.03907100216114943,8
31,0.036359317925395686,9
32,0.03337738136488331,10
33,0.17334935823359715,0
34,0.11269427669584645,1
35,0.08399735445569435,2
36,0.07224091638399945,3
37,0.061806148561449774,4
38,0.05474689235218948,5
39,0.04927018388851581,6
40,0.051394613044559445,7
41,0.046851485871795585,8
42,0.04574931693479149,9
43,0.04672762645780508,10
44,0.17334935823359715,0
45,0.09387491677759292,1
46,0.08158158833680278,2
47,0.07273668262988077,3
48,0.07539230729988305,4
49,0.07384292638958573,5
50,0.07202607237688874,6
51,0.07189401922274202,7
52,0.06923301146521947,8
53,0.06951618516575835,9
54,0.06777758960668756,10
55,0.17334935823359715,0
56,0.07176350047203661,1
57,0.08928730157319249,2
58,0.0647832925992497,3
59,0.054221766846903836,4
60,0.047331572737209754,5
61,0.04083315979416129,6
62,0.033726843908080104,7
63,0.0327730693416725,8
64,0.027955321496988726,9
65,0.029667579767419492,10
66,0.17334935823359715,0
67,0.09624188277460079,1
68,0.027284509239574834,2
69,0.03459588125774512,3
70,0.02891366458960192,4
71,0.03537497546131854,5
72,0.027571798665169688,6
73,0.027894892005526747,7
74,0.025736077382001045,8
75,0.027937430089397985,9
76,0.025712973861329,10
77,0.17334935823359715,0
78,0.11213830746002902,1
79,0.0976956725983523,2
80,0.06796138609534093,3
81,0.05610704055642215,4
82,0.051532082779134354,5
83,0.050325471296595814,6
84,0.050046853047919004,7
85,0.051111111111111114,8
86,0.05288194398847304,9
87,0.05743123808031667,10
88,0.17334935823359715,0
89,0.09013878188659973,1
90,0.07074995092263708,2
91,0.04198213905936666,3
92,0.03394112549695428,4
93,0.03549256573174476,5
94,0.024494897427831782,6
95,0.0264131832613943,7
96,0.021530913750084556,8
97,0.02293468988235943,9
98,0.02015436297945033,10
99,0.17334935823359715,0
100,0.09347459547919959,1
101,0.04772607021092118,2
102,0.035311117229563836,3
103,0.03426368339802363,4
104,0.031819805153394644,5
105,0.03362457798839948,6
106,0.023251344047172842,7
107,0.022388268532899873,8
108,0.020199009876724155,9
109,0.019771421064483225,10
