,L2,Round
0,0.17334935823359715,0
1,0.08463155439905379,1
2,0.06728876412728783,2
3,0.07035623639735145,3
4,0.0611228271597445,4
5,0.05635946139636972,5
6,0.058780116032688526,6
7,0.06046047262468265,7
8,0.05616883719292164,8
9,0.05297169055259611,9
10,0.052231208808084455,10
11,0.17334935823359715,0
12,0.03354101966249685,1
13,0.01855921454276674,2
14,0.013919410907075054,3
15,0.008,4
16,0.013944333775567926,5
17,0.013702375780893483,6
18,0.012869537676233752,7
19,0.010393492741038726,8
20,0.011113055385446435,9
21,0.010852123987557567,10
22,0.17334935823359715,0
23,0.08418729120241368,1
24,0.07306770072260992,2
25,0.06224949798994366,3
26,0.05820652884342099,4
27,0.05797509043642029,5
28,0.05453888333948879,6
29,0.05350963698250998,7
30,0.04840671313509325,8
31,0.041581245772583576,9
32,0.04327979315879142,10
33,0.17334935823359715,0
34,0.08276472678623424,1
35,0.07371114795831994,2
36,0.06719840027857807,3
37,0.06646803743153547,4
38,0.060495638042938456,5
39,0.058405688847884656,6
40,0.053025642381776004,7
41,0.048368441910397596,8
42,0.04967393682807917,9
43,0.04888847148999546,10
44,0.17334935823359715,0
45,0.07280109889280519,1
46,0.05939509893735154,2
47,0.06710532765734774,3
48,0.07071067811865475,4
49,0.07403077438170937,5
50,0.07051559387533964,6
51,0.07076037909734514,7
52,0.06929539560354535,8
53,0.0698748881931127,9
54,0.06912379600075301,10
55,0.17334935823359715,0
56,0.07141428428542851,1
57,0.04249182927993987,2
58,0.02680951323690902,3
59,0.030033314835362413,4
60,0.02778888666755511,5
61,0.02142857142857143,6
62,0.020329319959113242,7
63,0.019083960041464076,8
64,0.019710403344427026,9
65,0.019886038958388506,10
66,0.17334935823359715,0
67,0.05947688626685159,1
68,0.034880749227427246,2
69,0.02592055169165965,3
70,0.03108054053584011,4
71,0.02088327347690278,5
72,0.017728105208558366,6
73,0.018957188610128878,7
74,0.019578900207451216,8
75,0.02,9
76,0.018785434836156203,10
77,0.17334935823359715,0
78,0.073824115301167,1
79,0.0660807586719967,2
80,0.05454356057317857,3
81,0.059632206063502294,4
82,0.05229457163245744,5
83,0.05067906221447646,6
84,0.046745654878287884,7
85,0.04931631338038255,8
86,0.052848841046895245,9
87,0.055338925669142475,10
88,0.17334935823359715,0
89,0.054313902456001074,1
90,0.01870828693386971,2
91,0.01667708008015792,3
92,0.020248456731316585,4
93,0.016541194367732673,5
94,0.016690459207925605,6
95,0.01926379375927805,7
96,0.02039728861187313,8
97,0.01870828693386971,9
98,0.017451230745865878,10
99,0.17334935823359715,0
100,0.0799218368157289,1
101,0.03681787005729087,2
102,0.02053959590644373,3
103,0.017262676501632067,4
104,0.01795054935711501,5
105,0.01889822365046136,6
106,0.014947825928876748,7
107,0.009906974722292782,8
108,0.009407443861113389,9
109,0.010405021038417816,10
