,L2,Round
0,0.09718253158075502,0
1,0.018257418583505537,1
2,0.013041013273932527,2
3,0.0,3
4,0.008298826628866156,4
5,0.007022084070579058,5
6,1.375960091183763e-16,6
7,0.0053698289951486875,7
8,0.004804583837764616,8
9,3.276095455199435e-17,9
10,0.003969004039892508,10
11,0.1885618083164127,0
12,0.043969686527576386,1
13,0.013041013273932527,2
14,0.0,3
15,0.008298826628866156,4
16,0.007022084070579058,5
17,1.375960091183763e-16,6
18,0.0053698289951486875,7
19,0.004804583837764616,8
20,3.276095455199435e-17,9
21,0.003969004039892508,10
22,0.13333333333333333,0
23,0.018257418583505537,1
24,0.013041013273932527,2
25,0.0,3
26,0.008298826628866156,4
27,0.007022084070579058,5
28,1.375960091183763e-16,6
29,0.0053698289951486875,7
30,0.004804583837764616,8
31,3.276095455199435e-17,9
32,0.003969004039892508,10
33,0.1632993161855452,0
34,0.027080128015453196,1
35,0.013041013273932527,2
36,0.0,3
37,0.008298826628866156,4
38,0.007022084070579058,5
39,1.375960091183763e-16,6
40,0.0053698289951486875,7
41,0.004804583837764616,8
42,3.276095455199435e-17,9
43,0.003969004039892508,10
44,0.15456030825826172,0
45,0.018257418583505537,1
46,0.013041013273932527,2
47,0.0,3
48,0.008298826628866156,4
49,0.007022084070579058,5
50,1.375960091183763e-16,6
51,0.0053698289951486875,7
52,0.004804583837764616,8
53,3.276095455199435e-17,9
54,0.003969004039892508,10
55,0.13944333775567927,0
56,0.018257418583505537,1
57,0.013041013273932527,2
58,0.0,3
59,0.008298826628866156,4
60,0.007022084070579058,5
61,1.375960091183763e-16,6
62,0.0053698289951486875,7
63,0.004804583837764616,8
64,3.276095455199435e-17,9
65,0.003969004039892508,10
66,0.11785113019775792,0
67,0.018257418583505537,1
68,0.013041013273932525,2
69,0.0,3
70,0.008298826628866156,4
71,0.007022084070579058,5
72,1.375960091183763e-16,6
73,0.0053698289951486875,7
74,0.004804583837764616,8
75,3.276095455199435e-17,9
76,0.003969004039892508,10
77,0.14719601443879746,0
78,0.023094010767585025,1
79,0.013041013273932527,2
80,0.0,3
81,0.008298826628866156,4
82,0.007022084070579058,5
83,1.375960091183763e-16,6
84,0.0053698289951486875,7
85,0.004804583837764616,8
86,3.276095455199435e-17,9
87,0.003969004039892508,10
88,0.10801234497346433,0
89,0.018257418583505537,1
90,0.013041013273932527,2
91,0.0,3
92,0.008298826628866156,4
93,0.007022084070579058,5
94,1.375960091183763e-16,6
95,0.0053698289951486875,7
96,0.004804583837764616,8
97,3.276095455199435e-17,9
98,0.003969004039892508,10
99,0.2173067468400883,0
100,0.0627162924074226,1
101,0.016495721976846452,2
102,0.0,3
103,0.008298826628866156,4
104,0.007022084070579058,5
105,1.375960091183763e-16,6
106,0.0053698289951486875,7
107,0.004804583837764616,8
108,3.276095455199435e-17,9
109,0.003969004039892508,10
