,Acc,Round
0,0.7351666666666666,0
1,0.749,1
2,0.7448333333333333,2
3,0.742,3
4,0.8348333333333333,4
5,0.878,5
6,0.847,6
7,0.8428333333333333,7
8,0.8286666666666667,8
9,0.8768333333333334,9
10,0.7995,10
11,0.8431666666666666,11
12,0.796,12
13,0.854,13
14,0.8346666666666667,14
15,0.7731666666666667,15
16,0.829,16
17,0.8343333333333334,17
18,0.852,18
19,0.8663333333333333,19
20,0.8001666666666667,20
21,0.6071666666666666,0
22,0.7288333333333333,1
23,0.8431666666666666,2
24,0.8266666666666667,3
25,0.81,4
26,0.7873333333333333,5
27,0.8216666666666667,6
28,0.8603333333333333,7
29,0.8323333333333334,8
30,0.8401666666666666,9
31,0.8671666666666666,10
32,0.8443333333333334,11
33,0.7903333333333333,12
34,0.8513333333333334,13
35,0.7313333333333333,14
36,0.797,15
37,0.849,16
38,0.8176666666666667,17
39,0.8618333333333333,18
40,0.8308333333333333,19
41,0.8238333333333333,20
42,0.676,0
43,0.813,1
44,0.84,2
45,0.764,3
46,0.8,4
47,0.8483333333333334,5
48,0.8628333333333333,6
49,0.8101666666666667,7
50,0.832,8
51,0.8383333333333334,9
52,0.8786666666666667,10
53,0.8013333333333333,11
54,0.8146666666666667,12
55,0.8216666666666667,13
56,0.7873333333333333,14
57,0.757,15
58,0.802,16
59,0.8156666666666667,17
60,0.8138333333333333,18
61,0.7716666666666666,19
62,0.7778333333333334,20
63,0.2781666666666667,0
64,0.7386666666666667,1
65,0.7923333333333333,2
66,0.7621666666666667,3
67,0.735,4
68,0.8263333333333334,5
69,0.733,6
70,0.8453333333333334,7
71,0.7786666666666666,8
72,0.8171666666666667,9
73,0.7586666666666667,10
74,0.7653333333333333,11
75,0.778,12
76,0.7641666666666667,13
77,0.7416666666666667,14
78,0.7756666666666666,15
79,0.7746666666666666,16
80,0.7528333333333334,17
81,0.7565,18
82,0.8035,19
83,0.8043333333333333,20
84,0.606,0
85,0.7765,1
86,0.8706666666666667,2
87,0.7971666666666667,3
88,0.7835,4
89,0.788,5
90,0.792,6
91,0.7683333333333333,7
92,0.6976666666666667,8
93,0.7453333333333333,9
94,0.7981666666666667,10
95,0.7395,11
96,0.7591666666666667,12
97,0.7481666666666666,13
98,0.7018333333333333,14
99,0.7743333333333333,15
100,0.8228333333333333,16
101,0.7345,17
102,0.8548333333333333,18
103,0.7915,19
104,0.7128333333333333,20
105,0.6053333333333333,0
106,0.8013333333333333,1
107,0.8048333333333333,2
108,0.7415,3
109,0.777,4
110,0.77,5
111,0.8645,6
112,0.8006666666666666,7
113,0.827,8
114,0.8756666666666667,9
115,0.8573333333333333,10
116,0.8476666666666667,11
117,0.8446666666666667,12
118,0.7715,13
119,0.815,14
120,0.7928333333333333,15
121,0.8745,16
122,0.7883333333333333,17
123,0.8165,18
124,0.8441666666666666,19
125,0.7881666666666667,20
126,0.7423333333333333,0
127,0.8023333333333333,1
128,0.83,2
129,0.86,3
130,0.805,4
131,0.8265,5
132,0.8643333333333333,6
133,0.8555,7
134,0.8353333333333334,8
135,0.8496666666666667,9
136,0.8373333333333334,10
137,0.829,11
138,0.8118333333333333,12
139,0.8605,13
140,0.8328333333333333,14
141,0.8386666666666667,15
142,0.8646666666666667,16
143,0.8308333333333333,17
144,0.8483333333333334,18
145,0.8543333333333333,19
146,0.8255,20
147,0.562,0
148,0.784,1
149,0.8498333333333333,2
150,0.7445,3
151,0.745,4
152,0.8191666666666667,5
153,0.8388333333333333,6
154,0.8306666666666667,7
155,0.7191666666666666,8
156,0.7725,9
157,0.7853333333333333,10
158,0.793,11
159,0.754,12
160,0.7753333333333333,13
161,0.7191666666666666,14
162,0.7541666666666667,15
163,0.8231666666666667,16
164,0.7795,17
165,0.7665,18
166,0.7923333333333333,19
167,0.7941666666666667,20
168,0.7196666666666667,0
169,0.7741666666666667,1
170,0.874,2
171,0.8385,3
172,0.8103333333333333,4
173,0.8346666666666667,5
174,0.8161666666666667,6
175,0.8578333333333333,7
176,0.8196666666666667,8
177,0.8131666666666667,9
178,0.828,10
179,0.805,11
180,0.854,12
181,0.8461666666666666,13
182,0.8203333333333334,14
183,0.8521666666666666,15
184,0.854,16
185,0.8408333333333333,17
186,0.81,18
187,0.8138333333333333,19
188,0.827,20
189,0.6281666666666667,0
190,0.7285,1
191,0.8671666666666666,2
192,0.7723333333333333,3
193,0.8333333333333334,4
194,0.785,5
195,0.8326666666666667,6
196,0.8101666666666667,7
197,0.788,8
198,0.7943333333333333,9
199,0.8545,10
200,0.8273333333333334,11
201,0.8065,12
202,0.7655,13
203,0.8233333333333334,14
204,0.822,15
205,0.718,16
206,0.7965,17
207,0.8128333333333333,18
208,0.8615,19
209,0.7833333333333333,20
