,Acc,Round
0,0.6786666666666666,0
1,0.7623333333333333,1
2,0.7873333333333333,2
3,0.7148333333333333,3
4,0.8048333333333333,4
5,0.8465,5
6,0.8428333333333333,6
7,0.8291666666666667,7
8,0.8518333333333333,8
9,0.8215,9
10,0.8606666666666667,10
11,0.6106666666666667,0
12,0.7696666666666667,1
13,0.8611666666666666,2
14,0.8243333333333334,3
15,0.8086666666666666,4
16,0.7763333333333333,5
17,0.8461666666666666,6
18,0.7915,7
19,0.8515,8
20,0.8116666666666666,9
21,0.8505,10
22,0.6035,0
23,0.6925,1
24,0.758,2
25,0.8456666666666667,3
26,0.773,4
27,0.8178333333333333,5
28,0.8448333333333333,6
29,0.7835,7
30,0.7653333333333333,8
31,0.7428333333333333,9
32,0.8125,10
33,0.5696666666666667,0
34,0.7706666666666667,1
35,0.8401666666666666,2
36,0.7933333333333333,3
37,0.805,4
38,0.7773333333333333,5
39,0.8301666666666667,6
40,0.8038333333333333,7
41,0.8025,8
42,0.7408333333333333,9
43,0.836,10
44,0.5038333333333334,0
45,0.8463333333333334,1
46,0.811,2
47,0.7785,3
48,0.7801666666666667,4
49,0.8238333333333333,5
50,0.8656666666666667,6
51,0.8298333333333333,7
52,0.775,8
53,0.786,9
54,0.8205,10
55,0.5285,0
56,0.7531666666666667,1
57,0.7805,2
58,0.7838333333333334,3
59,0.7981666666666667,4
60,0.8706666666666667,5
61,0.8011666666666667,6
62,0.8008333333333333,7
63,0.757,8
64,0.7838333333333334,9
65,0.8175,10
66,0.6333333333333333,0
67,0.7968333333333333,1
68,0.825,2
69,0.7918333333333333,3
70,0.8271666666666667,4
71,0.8275,5
72,0.7726666666666666,6
73,0.8708333333333333,7
74,0.8353333333333334,8
75,0.8785,9
76,0.7953333333333333,10
77,0.417,0
78,0.849,1
79,0.829,2
80,0.765,3
81,0.8601666666666666,4
82,0.7455,5
83,0.7535,6
84,0.7886666666666666,7
85,0.7668333333333334,8
86,0.7171666666666666,9
87,0.7388333333333333,10
88,0.602,0
89,0.7773333333333333,1
90,0.7643333333333333,2
91,0.8201666666666667,3
92,0.8138333333333333,4
93,0.8203333333333334,5
94,0.852,6
95,0.8503333333333334,7
96,0.7668333333333334,8
97,0.7701666666666667,9
98,0.831,10
99,0.5593333333333333,0
100,0.8206666666666667,1
101,0.8066666666666666,2
102,0.84,3
103,0.7756666666666666,4
104,0.8208333333333333,5
105,0.8465,6
106,0.8295,7
107,0.7181666666666666,8
108,0.822,9
109,0.8138333333333333,10
