,L2,Round
0,0.09718253158075502,0
1,0.036514837167011066,1
2,0.013041013273932527,2
3,0.020786985482077452,3
4,0.01779900018859202,4
5,0.017764623667373112,5
6,0.1885618083164127,0
7,0.09345230512584124,1
8,0.042458463095540494,2
9,0.04303314829119352,3
10,0.023764222941451706,4
11,0.027014496802186524,5
12,0.13333333333333333,0
13,0.036514837167011066,1
14,0.03140691894826885,2
15,0.015713484026367724,3
16,0.012309149097933278,4
17,0.008882311833686558,5
18,0.1632993161855452,0
19,0.07302967433402215,1
20,0.05593971487843205,2
21,0.03685138655950444,3
22,0.025443720642040406,4
23,0.018578688136140317,5
24,0.15456030825826172,0
25,0.06733003292241384,1
26,0.0521640530957301,2
27,0.027216552697590865,3
28,0.021956631433620363,4
29,0.02531848417709168,5
30,0.13944333775567927,0
31,0.03915780041490243,1
32,0.039982989580349196,2
33,0.032394177193585005,3
34,0.023764222941451703,4
35,0.02220577958421639,5
36,0.11785113019775792,0
37,0.027080128015453196,1
38,0.026082026547865053,2
39,0.015713484026367724,3
40,0.026243194054073903,4
41,0.018578688136140317,5
42,0.14719601443879746,0
43,0.07702813338860894,1
44,0.027969857439216025,2
45,0.029397236789606564,3
46,0.012309149097933278,4
47,0.020830867704194782,5
48,0.10801234497346433,0
49,0.03366501646120692,1
50,0.02608202654786505,2
51,0.02357022603955158,3
52,0.010497277621629561,4
53,0.018578688136140314,5
54,0.2173067468400883,0
55,0.08563488385776753,1
56,0.03734377890799553,2
57,0.02357022603955158,3
58,0.029921844936562882,4
59,0.021529302081726508,5
