,Acc,Round
0,0.6786666666666666,0
1,0.7675,1
2,0.7195,2
3,0.8226666666666667,3
4,0.8051666666666667,4
5,0.8085,5
6,0.748,6
7,0.7881666666666667,7
8,0.8118333333333333,8
9,0.8373333333333334,9
10,0.8128333333333333,10
11,0.6106666666666667,0
12,0.802,1
13,0.8071666666666667,2
14,0.8235,3
15,0.7671666666666667,4
16,0.7973333333333333,5
17,0.8058333333333333,6
18,0.8408333333333333,7
19,0.8425,8
20,0.8296666666666667,9
21,0.7915,10
22,0.6035,0
23,0.7771666666666667,1
24,0.7306666666666667,2
25,0.8395,3
26,0.8073333333333333,4
27,0.8521666666666666,5
28,0.793,6
29,0.8636666666666667,7
30,0.7731666666666667,8
31,0.8466666666666667,9
32,0.8035,10
33,0.5696666666666667,0
34,0.7671666666666667,1
35,0.7491666666666666,2
36,0.793,3
37,0.8148333333333333,4
38,0.7223333333333334,5
39,0.7423333333333333,6
40,0.7918333333333333,7
41,0.7851666666666667,8
42,0.7736666666666666,9
43,0.7583333333333333,10
44,0.5038333333333334,0
45,0.7658333333333334,1
46,0.7235,2
47,0.7005,3
48,0.7775,4
49,0.7551666666666667,5
50,0.7561666666666667,6
51,0.6505,7
52,0.6705,8
53,0.6998333333333333,9
54,0.6541666666666667,10
55,0.5285,0
56,0.771,1
57,0.8086666666666666,2
58,0.8513333333333334,3
59,0.7923333333333333,4
60,0.801,5
61,0.8261666666666667,6
62,0.7771666666666667,7
63,0.8236666666666667,8
64,0.805,9
65,0.8233333333333334,10
66,0.6333333333333333,0
67,0.8155,1
68,0.8093333333333333,2
69,0.7926666666666666,3
70,0.8333333333333334,4
71,0.809,5
72,0.8011666666666667,6
73,0.8323333333333334,7
74,0.8396666666666667,8
75,0.6833333333333333,9
76,0.8111666666666667,10
77,0.417,0
78,0.7531666666666667,1
79,0.8093333333333333,2
80,0.787,3
81,0.7531666666666667,4
82,0.826,5
83,0.7508333333333334,6
84,0.6948333333333333,7
85,0.7666666666666667,8
86,0.6596666666666666,9
87,0.628,10
88,0.602,0
89,0.78,1
90,0.8196666666666667,2
91,0.7933333333333333,3
92,0.7555,4
93,0.7168333333333333,5
94,0.8156666666666667,6
95,0.822,7
96,0.8391666666666666,8
97,0.8191666666666667,9
98,0.8025,10
99,0.5593333333333333,0
100,0.7378333333333333,1
101,0.779,2
102,0.8776666666666667,3
103,0.8115,4
104,0.733,5
105,0.7941666666666667,6
106,0.8151666666666667,7
107,0.7726666666666666,8
108,0.8315,9
109,0.8571666666666666,10
