,L2,Round
0,0.08164965809277251,0
1,0.058309518948453,1
2,0.04403152859263555,2
3,0.04906533814626587,3
4,0.03962635403218795,4
5,0.03352999187338983,5
6,0.027487370837451074,6
7,0.0263066820882328,7
8,0.022017369119317756,8
9,0.021560440805089044,9
10,0.0206235499576198,10
11,0.10274023338281617,0
12,0.07999999999999999,1
13,0.09035079029052515,2
14,0.06804138174397724,3
15,0.06331085580538237,4
16,0.058582870045107045,5
17,0.06649979114420003,6
18,0.07144092824406534,7
19,0.06542001523503178,8
20,0.062451795469542735,9
21,0.05718672364332984,10
22,0.0881917103688196,0
23,0.06164414002968975,1
24,0.05890150893739516,2
25,0.04648111258522646,3
26,0.042640143271122095,4
27,0.04452244962611629,5
28,0.04294699575575043,6
29,0.04631769337654003,7
30,0.039909870758166016,8
31,0.039123039821797496,9
32,0.035721036359032454,10
33,0.07453559924999292,0
34,0.06928203230275508,1
35,0.063887656499994,2
36,0.06085806194501851,3
37,0.05640760748177663,4
38,0.04955422587201976,5
39,0.05557777333511023,6
40,0.053590785759672306,7
41,0.04618402309153744,8
42,0.05073160893491067,9
43,0.045807190229794376,10
44,0.0881917103688196,0
45,0.07348469228349533,1
46,0.06700593942604902,2
47,0.052115730664704825,3
48,0.04499770425732576,4
49,0.03608012122941103,5
50,0.03091206165165235,6
51,0.028515763867154854,7
52,0.024404259198672878,8
53,0.02672612419124239,9
54,0.024011654385189617,10
55,0.08498365855987966,0
56,0.07071067811865475,1
57,0.05050762722761055,2
58,0.04714045207910321,3
59,0.033402132856134255,4
60,0.031716197120135875,5
61,0.032998316455372226,6
62,0.029704426289300204,7
63,0.026051302464767515,8
64,0.024281045302822733,9
65,0.023814024239354973,10
66,0.07453559924999292,0
67,0.06782329983125267,1
68,0.046291004988627586,2
69,0.05328701692569694,3
70,0.04767312946227962,4
71,0.04518207740181054,5
72,0.04055175020198814,6
73,0.04159451654038512,7
74,0.03510964227401663,8
75,0.03176586681934835,9
76,0.030122622740328203,10
77,0.07817359599705709,0
78,0.06928203230275508,1
79,0.053452248382484885,2
80,0.04648111258522646,3
81,0.0391014784865574,4
82,0.03352999187338983,5
83,0.02624669291337271,6
84,0.0275906809401378,7
85,0.027093763528913132,8
86,0.021560440805089044,9
87,0.01818826144639289,10
88,0.08164965809277251,0
89,0.06324555320336758,1
90,0.04403152859263555,2
91,0.03513641844631536,3
92,0.03340213285613425,4
93,0.029792179586210926,5
94,0.027888667551135858,6
95,0.02790244994266215,7
96,0.028342972669128937,8
97,0.028171808490950495,9
98,0.02572208601347651,10
99,0.0881917103688196,0
100,0.06928203230275508,1
101,0.05439837932759936,2
102,0.052704627669473036,3
103,0.0526174404672283,4
104,0.05102499677469851,5
105,0.04714045207910318,6
106,0.04499134864934807,7
107,0.040083016346652116,8
108,0.037796447300922645,9
109,0.04259982161362036,10
