,Acc,Round
0,0.6786666666666666,0
1,0.6748333333333333,1
2,0.7615,2
3,0.7443333333333333,3
4,0.8278333333333333,4
5,0.835,5
6,0.84,6
7,0.8543333333333333,7
8,0.7953333333333333,8
9,0.836,9
10,0.835,10
11,0.6106666666666667,0
12,0.8155,1
13,0.8023333333333333,2
14,0.8423333333333334,3
15,0.7986666666666666,4
16,0.8263333333333334,5
17,0.7876666666666666,6
18,0.8433333333333334,7
19,0.8253333333333334,8
20,0.8358333333333333,9
21,0.8326666666666667,10
22,0.6035,0
23,0.7648333333333334,1
24,0.7846666666666666,2
25,0.833,3
26,0.8191666666666667,4
27,0.7073333333333334,5
28,0.854,6
29,0.8148333333333333,7
30,0.868,8
31,0.8058333333333333,9
32,0.835,10
33,0.5696666666666667,0
34,0.775,1
35,0.7708333333333334,2
36,0.811,3
37,0.8155,4
38,0.7381666666666666,5
39,0.8238333333333333,6
40,0.8085,7
41,0.8755,8
42,0.8211666666666667,9
43,0.7548333333333334,10
44,0.5038333333333334,0
45,0.8111666666666667,1
46,0.8368333333333333,2
47,0.7361666666666666,3
48,0.7935,4
49,0.7476666666666667,5
50,0.7123333333333334,6
51,0.6948333333333333,7
52,0.7398333333333333,8
53,0.828,9
54,0.863,10
55,0.5285,0
56,0.8093333333333333,1
57,0.8043333333333333,2
58,0.8466666666666667,3
59,0.8275,4
60,0.8333333333333334,5
61,0.7688333333333334,6
62,0.8363333333333334,7
63,0.7963333333333333,8
64,0.7523333333333333,9
65,0.8245,10
66,0.6333333333333333,0
67,0.8493333333333334,1
68,0.7401666666666666,2
69,0.844,3
70,0.8505,4
71,0.8756666666666667,5
72,0.8213333333333334,6
73,0.8586666666666667,7
74,0.8075,8
75,0.802,9
76,0.8518333333333333,10
77,0.417,0
78,0.7681666666666667,1
79,0.8005,2
80,0.8101666666666667,3
81,0.8441666666666666,4
82,0.7986666666666666,5
83,0.7813333333333333,6
84,0.7286666666666667,7
85,0.8031666666666667,8
86,0.8595,9
87,0.7995,10
88,0.602,0
89,0.7845,1
90,0.8381666666666666,2
91,0.7413333333333333,3
92,0.8315,4
93,0.8003333333333333,5
94,0.8303333333333334,6
95,0.7355,7
96,0.8523333333333334,8
97,0.8481666666666666,9
98,0.791,10
99,0.5593333333333333,0
100,0.81,1
101,0.725,2
102,0.813,3
103,0.799,4
104,0.866,5
105,0.7626666666666667,6
106,0.8201666666666667,7
107,0.7895,8
108,0.809,9
109,0.7548333333333334,10
