,L2,Round
0,0.09718253158075502,0
1,0.14047538337136983,1
2,0.11323925667232489,2
3,0.11547005383792516,3
4,0.0706132133195821,4
5,0.059501545568575905,5
6,0.04320493798938575,6
7,0.05652366786431206,7
8,0.040369942101767906,8
9,0.028965535858562954,9
10,0.03263284130202232,10
11,0.1885618083164127,0
12,0.08793937305515277,1
13,0.06116777418411966,2
14,0.05091750772173155,3
15,0.0570148112794751,4
16,0.045399823614425086,5
17,0.043969686527576414,6
18,0.043359498799011735,7
19,0.03733999412946099,8
20,0.03595159254890834,9
21,0.03334908260580826,10
22,0.13333333333333333,0
23,0.10360180178613368,1
24,0.05313312762957475,2
25,0.05665577237325316,3
26,0.03892494720807616,4
27,0.04507280982371014,5
28,0.02905932629027117,6
29,0.02413437965704151,7
30,0.02542346797577095,8
31,0.03749527559053244,9
32,0.02334638216461886,10
33,0.1632993161855452,0
34,0.07571877794400364,1
35,0.09618576131773407,2
36,0.10061539042374908,3
37,0.08852946156358513,4
38,0.07188638855833947,5
39,0.07333333333333336,6
40,0.051055751240358965,7
41,0.036018359943241776,8
42,0.031225897734771434,9
43,0.035143059863716346,10
44,0.15456030825826172,0
45,0.13012814197295422,1
46,0.06826319612776882,2
47,0.08606629658238704,3
48,0.06352804634314133,4
49,0.056961179209033534,5
50,0.05206833117271105,6
51,0.03158628175213139,7
52,0.038436670702116926,8
53,0.03794613678692674,9
54,0.03672133176614471,10
55,0.13944333775567927,0
56,0.12301761391497287,1
57,0.08185768303652897,2
58,0.08461970117626565,3
59,0.05403804393977883,4
60,0.05564752413900185,5
61,0.04521553322083514,6
62,0.03131121455425747,7
63,0.03677939525129234,8
64,0.04232473532055043,9
65,0.039927470475234525,10
66,0.11785113019775792,0
67,0.14189197769195172,1
68,0.07867957924694431,2
69,0.07370277311900889,3
70,0.06254474981984938,4
71,0.04762609133591467,5
72,0.03399346342395191,6
73,0.03496579313750394,7
74,0.0354368594328494,8
75,0.029160592175990218,9
76,0.028455295530538924,10
77,0.14719601443879746,0
78,0.1635033129124096,1
79,0.1398492871960801,2
80,0.08958064164776165,3
81,0.06883525267636698,4
82,0.03871709966805515,5
83,0.04714045207910319,6
84,0.039823717669784126,7
85,0.03106303720986978,8
86,0.026082026547865057,9
87,0.025102185616940245,10
88,0.10801234497346433,0
89,0.11718930554164628,1
90,0.10481600334788162,2
91,0.0996908802495909,3
92,0.07319922623746161,4
93,0.07126636979326824,5
94,0.05517648452415618,6
95,0.04355854880690797,7
96,0.04002538437385907,8
97,0.03779644730092273,9
98,0.03099891251624266,10
99,0.2173067468400883,0
100,0.1016530045465127,1
101,0.08123201004396181,2
102,0.049690399499995326,3
103,0.03997244229779673,4
104,0.04945461928714339,5
105,0.04594682917363409,6
106,0.033188844862374035,7
107,0.033837371091203355,8
108,0.030491067797299282,9
109,0.040978885552459966,10
