,L2,Round
0,0.0,0
1,87.11316944328567,1
2,87.11316944328567,2
3,87.11316944328567,3
4,87.11316944328567,4
5,87.11316944328567,5
6,87.11316944328567,6
7,87.11316944328567,7
8,87.11316944328567,8
9,87.11316944328567,9
10,87.11316944328567,10
11,0.0,0
12,87.11316944328567,1
13,87.11316944328567,2
14,87.11316944328567,3
15,87.11316944328567,4
16,87.11316944328567,5
17,87.11316944328567,6
18,87.11316944328567,7
19,87.11316944328567,8
20,87.11316944328567,9
21,87.11316944328567,10
22,0.0,0
23,87.11316944328567,1
24,87.11316944328567,2
25,87.11316944328567,3
26,87.11316944328567,4
27,87.11316944328567,5
28,87.11316944328567,6
29,87.11316944328567,7
30,87.11316944328567,8
31,87.11316944328567,9
32,87.11316944328567,10
33,0.0,0
34,87.11316944328567,1
35,87.11316944328567,2
36,87.11316944328567,3
37,87.11316944328567,4
38,87.11316944328567,5
39,87.11316944328567,6
40,87.11316944328567,7
41,87.11316944328567,8
42,87.11316944328567,9
43,87.11316944328567,10
44,0.0,0
45,87.11316944328567,1
46,87.11316944328567,2
47,87.11316944328567,3
48,87.11316944328567,4
49,87.11316944328567,5
50,87.11316944328567,6
51,87.11316944328567,7
52,87.11316944328567,8
53,87.11316944328567,9
54,87.11316944328567,10
55,0.0,0
56,87.11316944328567,1
57,87.11316944328567,2
58,87.11316944328567,3
59,87.11316944328567,4
60,87.11316944328567,5
61,87.11316944328567,6
62,87.11316944328567,7
63,87.11316944328567,8
64,87.11316944328567,9
65,87.11316944328567,10
66,0.0,0
67,87.11316944328567,1
68,87.11316944328567,2
69,87.11316944328567,3
70,87.11316944328567,4
71,87.11316944328567,5
72,87.11316944328567,6
73,87.11316944328567,7
74,87.11316944328567,8
75,87.11316944328567,9
76,87.11316944328567,10
77,0.0,0
78,87.11316944328567,1
79,87.11316944328567,2
80,87.11316944328567,3
81,87.11316944328567,4
82,87.11316944328567,5
83,87.11316944328567,6
84,87.11316944328567,7
85,87.11316944328567,8
86,87.11316944328567,9
87,87.11316944328567,10
88,0.0,0
89,87.11316944328567,1
90,87.11316944328567,2
91,87.11316944328567,3
92,87.11316944328567,4
93,87.11316944328567,5
94,87.11316944328567,6
95,87.11316944328567,7
96,87.11316944328567,8
97,87.11316944328567,9
98,87.11316944328567,10
99,0.0,0
100,87.11316944328567,1
101,87.11316944328567,2
102,87.11316944328567,3
103,87.11316944328567,4
104,87.11316944328567,5
105,87.11316944328567,6
106,87.11316944328567,7
107,87.11316944328567,8
108,87.11316944328567,9
109,87.11316944328567,10
