,L2,Round
0,0.0,0
1,10.924538941164897,1
2,10.275335015000852,2
3,55.00901402783291,3
4,10.275335015000852,4
5,10.924538941164897,5
6,15.94318316793587,6
7,17.734818937552056,7
8,10.275335015000852,8
9,15.94318316793587,9
10,54.35981010166887,10
11,0.0,0
12,10.275335015000852,1
13,46.50357852247862,2
14,10.275335015000852,3
15,10.924538941164897,4
16,46.898549721656906,5
17,67.48268069161797,6
18,15.94318316793587,7
19,17.734818937552056,8
20,10.275335015000852,9
21,23.402667090487075,10
22,0.0,0
23,21.489484595150632,1
24,10.275335015000852,2
25,10.924538941164897,3
26,10.275335015000852,4
27,15.94318316793587,5
28,28.299764591537794,6
29,15.94318316793587,7
30,23.402667090487075,8
31,10.275335015000852,9
32,28.299764591537794,10
33,0.0,0
34,21.489484595150632,1
35,44.966612502219036,2
36,21.489484595150632,3
37,44.966612502219036,4
38,21.489484595150632,5
39,15.94318316793587,6
40,46.50357852247862,7
41,15.94318316793587,8
42,10.924538941164897,9
43,33.9676127444728,10
44,0.0,0
45,10.275335015000852,1
46,21.489484595150632,2
47,17.734818937552056,3
48,52.56639787459192,4
49,10.275335015000852,5
50,28.299764591537794,6
51,23.402667090487075,7
52,83.97014424789532,8
53,10.924538941164897,9
54,58.11269930180668,10
55,0.0,0
56,10.275335015000852,1
57,10.924538941164897,2
58,17.734818937552056,3
59,10.924538941164897,4
60,53.6725921452551,5
61,10.275335015000852,6
62,10.275335015000852,7
63,60.48287214164226,8
64,10.924538941164897,9
65,59.28781287628971,10
66,0.0,0
67,10.275335015000852,1
68,21.489484595150632,2
69,23.402667090487075,3
70,10.275335015000852,4
71,69.98070642954703,5
72,21.489484595150632,6
73,10.275335015000852,7
74,10.924538941164897,8
75,44.966612502219036,9
76,10.275335015000852,10
77,0.0,0
78,10.275335015000852,1
79,49.92807068684118,2
80,15.94318316793587,3
81,28.948968517701836,4
82,50.379101816578036,5
83,60.49301634082692,6
84,10.275335015000852,7
85,15.94318316793587,8
86,42.46858676428998,9
87,10.924538941164897,10
88,0.0,0
89,15.94318316793587,1
90,10.924538941164897,2
91,15.94318316793587,3
92,15.94318316793587,4
93,51.776892498606195,5
94,10.924538941164897,6
95,10.275335015000852,7
96,15.94318316793587,8
97,10.275335015000852,9
98,44.966612502219036,10
99,0.0,0
100,46.898549721656906,1
101,62.915067594583846,2
102,17.734818937552056,3
103,21.489484595150632,4
104,10.924538941164897,5
105,62.915067594583846,6
106,17.734818937552056,7
107,47.54775364782095,8
108,10.275335015000852,9
109,35.93863286849288,10
