,L2,Round
0,0.0,0
1,76.83990599051987,1
2,83.83530829317235,2
3,81.5014586739027,3
4,82.43800871003995,4
5,74.5948464445035,5
6,76.91202142204084,6
7,64.10229471789141,7
8,86.84420529036467,8
9,74.67721702751032,9
10,79.32152496624863,10
11,0.0,0
12,84.9635178253146,1
13,87.49587888324393,2
14,90.54614172706391,3
15,86.31162922684565,4
16,103.24307344862922,5
17,98.55872964611439,6
18,69.17426470365152,7
19,75.98215219961946,8
20,120.55675726765327,9
21,75.66659024432099,10
22,0.0,0
23,88.24836976294435,1
24,79.15340495988185,2
25,104.87039872526996,3
26,86.62841066651596,4
27,81.47587214828833,5
28,82.37115228081095,6
29,100.36453813953048,7
30,100.36453813953048,8
31,100.4875929060096,9
32,96.83146321921362,10
33,0.0,0
34,77.33508717001314,1
35,86.87518025876545,2
36,75.005602805217,3
37,81.231042398617,4
38,61.38635588262544,5
39,99.83538728405557,6
40,100.04697829307923,7
41,74.15424681011095,8
42,92.4943646297896,9
43,102.64184042239728,10
44,0.0,0
45,74.7743636658571,1
46,103.34579820234921,2
47,91.02306724238072,3
48,72.60546240353743,4
49,76.75759471668408,5
50,87.40349514837547,6
51,97.20534319493538,7
52,82.05811557528386,8
53,81.23100051716301,9
54,77.64767388030357,10
55,0.0,0
56,91.26944136826037,1
57,75.33366814855643,2
58,98.94840211712838,3
59,75.6715288830812,4
60,72.49808460015741,5
61,81.37483942879729,6
62,76.65806869382789,7
63,91.56334558307513,8
64,86.72832157236311,9
65,60.35058800886887,10
66,0.0,0
67,97.68998856494679,1
68,98.16720186983689,2
69,68.42470693800763,3
70,66.43431461715903,4
71,79.02240435596997,5
72,74.10459194431495,6
73,76.44627048155587,7
74,86.97623861277707,8
75,71.02301252189739,9
76,68.93248030334135,10
77,0.0,0
78,79.51994139510415,1
79,104.91755742469667,2
80,91.52259005273201,3
81,73.0448450217993,4
82,76.27434770157028,5
83,109.23545608089289,6
84,103.38194351275348,7
85,100.00501303551786,8
86,74.84657051343342,9
87,70.7267508059832,10
88,0.0,0
89,100.86969179791234,1
90,81.82404659379252,2
91,88.44683372860229,3
92,98.13014124819567,4
93,97.15412154469513,5
94,75.72021840151757,6
95,70.2872051120168,7
96,109.96876437660782,8
97,94.02413887019208,9
98,75.01389777081246,10
99,0.0,0
100,87.11706419621194,1
101,67.302034170711,2
102,99.99491173575458,3
103,84.42259093587333,4
104,87.87600167633394,5
105,94.13164364171739,6
106,74.20956011881248,7
107,107.01037591136584,8
108,81.91862368755255,9
109,49.20098537343759,10
