,Acc,Round
0,0.6786666666666666,0
1,0.703,1
2,0.724,2
3,0.8055,3
4,0.7628333333333334,4
5,0.7993333333333333,5
6,0.8306666666666667,6
7,0.8496666666666667,7
8,0.855,8
9,0.8893333333333333,9
10,0.805,10
11,0.6106666666666667,0
12,0.7246666666666667,1
13,0.8,2
14,0.8061666666666667,3
15,0.7928333333333333,4
16,0.7528333333333334,5
17,0.8008333333333333,6
18,0.7923333333333333,7
19,0.7926666666666666,8
20,0.7406666666666667,9
21,0.8126666666666666,10
22,0.6035,0
23,0.763,1
24,0.7513333333333333,2
25,0.7938333333333333,3
26,0.7555,4
27,0.858,5
28,0.8126666666666666,6
29,0.8498333333333333,7
30,0.7676666666666667,8
31,0.8515,9
32,0.8283333333333334,10
33,0.5696666666666667,0
34,0.7636666666666667,1
35,0.764,2
36,0.779,3
37,0.8173333333333334,4
38,0.7093333333333334,5
39,0.7851666666666667,6
40,0.707,7
41,0.7445,8
42,0.7888333333333334,9
43,0.8168333333333333,10
44,0.5038333333333334,0
45,0.7971666666666667,1
46,0.8088333333333333,2
47,0.6583333333333333,3
48,0.6726666666666666,4
49,0.647,5
50,0.7148333333333333,6
51,0.7701666666666667,7
52,0.7486666666666667,8
53,0.7418333333333333,9
54,0.672,10
55,0.5285,0
56,0.7726666666666666,1
57,0.7656666666666667,2
58,0.7505,3
59,0.7591666666666667,4
60,0.8061666666666667,5
61,0.791,6
62,0.817,7
63,0.8148333333333333,8
64,0.8371666666666666,9
65,0.8275,10
66,0.6333333333333333,0
67,0.7878333333333334,1
68,0.801,2
69,0.8051666666666667,3
70,0.8723333333333333,4
71,0.8166666666666667,5
72,0.8025,6
73,0.7996666666666666,7
74,0.8483333333333334,8
75,0.8178333333333333,9
76,0.818,10
77,0.417,0
78,0.7966666666666666,1
79,0.7835,2
80,0.8176666666666667,3
81,0.7821666666666667,4
82,0.71,5
83,0.779,6
84,0.7551666666666667,7
85,0.6981666666666667,8
86,0.598,9
87,0.6235,10
88,0.602,0
89,0.788,1
90,0.7585,2
91,0.7793333333333333,3
92,0.819,4
93,0.736,5
94,0.7836666666666666,6
95,0.8261666666666667,7
96,0.8308333333333333,8
97,0.827,9
98,0.8013333333333333,10
99,0.5593333333333333,0
100,0.797,1
101,0.7961666666666667,2
102,0.8195,3
103,0.8181666666666667,4
104,0.8028333333333333,5
105,0.801,6
106,0.8205,7
107,0.8331666666666667,8
108,0.8083333333333333,9
109,0.807,10
