,L2,Round
0,0.09718253158075502,0
1,0.04618802153517005,1
2,0.019342948582466574,2
3,0.024845199749997663,3
4,0.020994555243259123,4
5,0.019358549834027575,5
6,0.016329931618554526,6
7,0.008985442539129099,7
8,0.012154742509255283,8
9,0.00890870806374748,9
10,0.007318481839392809,10
11,0.1885618083164127,0
12,0.08205689083394113,1
13,0.08670067360015773,2
14,0.13988531457793524,3
15,0.14836111108962,4
16,0.11598136285024255,5
17,0.09672412085697943,6
18,0.10261854202454529,7
19,0.08557016419829613,8
20,0.09659744178619427,9
21,0.07943959354952937,10
22,0.13333333333333333,0
23,0.11105554165971787,1
24,0.06900655593423542,2
25,0.0437444881889545,3
26,0.05591709723407861,4
27,0.028088336282316228,5
28,0.025819888974716123,6
29,0.017970885078258194,7
30,0.020942695414584777,8
31,0.01844277783908294,9
32,0.02510218561694025,10
33,0.1632993161855452,0
34,0.07571877794400364,1
35,0.04364357804719847,2
36,0.03042903097250923,3
37,0.012309149097933278,4
38,0.020108188642766835,5
39,0.014907119849998604,6
40,0.020235066118186564,7
41,0.02253549575204409,8
42,0.021295885499998002,9
43,0.025660769869022854,10
44,0.15456030825826172,0
45,0.10360180178613368,1
46,0.08123201004396181,2
47,0.05091750772173155,3
48,0.053654336998865994,4
49,0.03871709966805516,5
50,0.03265986323710905,6
51,0.027485972095835656,7
52,0.0303868562731382,8
53,0.023084189797220617,9
54,0.03099891251624266,10
55,0.13944333775567927,0
56,0.057735026918962574,1
57,0.03734377890799553,2
58,0.02357022603955158,3
59,0.019986221148898364,4
60,0.020108188642766835,5
61,0.014907119849998604,6
62,0.010739657990297375,7
63,0.008859214858212349,8
64,0.00890870806374748,9
65,0.011365497928520376,10
66,0.11785113019775792,0
67,0.05944184833375669,1
68,0.03734377890799553,2
69,0.04581228472908512,3
70,0.04198911048651825,4
71,0.030121384934540352,5
72,0.022110831935702673,6
73,0.01844596835512429,7
74,0.01992599419579044,8
75,0.026726124191242442,9
76,0.014310447578356155,10
77,0.14719601443879746,0
78,0.06429100507328635,1
79,0.05861206488138652,2
80,0.027216552697590865,3
81,0.03127237490992469,4
82,0.031560342628438924,5
83,0.02788866755113586,6
84,0.02023506611818656,7
85,0.024592711875221385,8
86,0.011167656571008168,9
87,0.012922140942121017,10
88,0.10801234497346433,0
89,0.023094010767585025,1
90,0.016495721976846452,2
91,0.0376796110173626,3
92,0.029921844936562882,4
93,0.015060692467270178,5
94,0.016329931618554526,6
95,0.010739657990297375,7
96,0.01030468431971117,8
97,0.011167656571008168,9
98,0.009050721736809271,10
99,0.2173067468400883,0
100,0.09865765724632494,1
101,0.07468755781599105,2
102,0.07617394000445604,3
103,0.05591709723407861,4
104,0.04474340606824401,5
105,0.02260776661041757,6
106,0.020658144613436742,7
107,0.01425269895550169,8
108,0.00673435029701474,9
109,0.011773968702370958,10
