,L2,Round
0,0.09718253158075502,0
1,0.1487727573628093,1
2,0.11187942975686412,2
3,0.10333930687632376,3
4,0.1075010410610107,4
5,0.09725016035134819,5
6,0.09249624617007743,6
7,0.08231791972424836,7
8,0.06838730611774729,8
9,0.05128728387747148,9
10,0.07890236283371709,10
11,0.0692050094525919,11
12,0.07995197461082558,12
13,0.0722768272287931,13
14,0.0628273598193185,14
15,0.053611533372588296,15
16,0.05041325816329926,16
17,0.040839736780696016,17
18,0.050960530549620006,18
19,0.04680978592027573,19
20,0.04175266049455889,20
21,0.1885618083164127,0
22,0.11547005383792514,1
23,0.1864454471471609,2
24,0.15595187608464667,3
25,0.13826950965514956,4
26,0.11887871929567835,5
27,0.10624918300339489,6
28,0.07188354031303279,7
29,0.05375983665278795,8
30,0.04219058368254608,9
31,0.03848092187638189,10
32,0.047046076705006275,11
33,0.042390826452813335,12
34,0.04234973201595529,13
35,0.031906688440769465,14
36,0.04160463702347269,15
37,0.03910564793837681,16
38,0.052010937022922775,17
39,0.04611821986821785,18
40,0.04416138628786189,19
41,0.047650778786365935,20
42,0.13333333333333333,0
43,0.2081665999466132,1
44,0.20619652471058061,2
45,0.1664813784863522,3
46,0.1267304464625848,4
47,0.09494106964909556,5
48,0.07272474743090479,6
49,0.04898037645802665,7
50,0.07830145124358386,8
51,0.08024904545882247,9
52,0.07628339032562408,10
53,0.07242467351209347,11
54,0.065577522998614,12
55,0.0536795146153362,13
56,0.05174713727103644,14
57,0.03803000120609436,15
58,0.032680685593854286,16
59,0.03511780584424863,17
60,0.040663465454240294,18
61,0.038163782842385675,19
62,0.03404680814883375,20
63,0.1632993161855452,0
64,0.14468356276140468,1
65,0.2604287412166727,2
66,0.22194427061597974,3
67,0.1812111077300128,4
68,0.14128181860467612,5
69,0.09955456348712056,6
70,0.08294604352289203,7
71,0.06858953614850744,8
72,0.0700663760455341,9
73,0.05410088827515967,10
74,0.04548992562461862,11
75,0.03562108159568768,12
76,0.0603037627106882,13
77,0.05405833105483626,14
78,0.047286322831294664,15
79,0.05527913089878651,16
80,0.04893559021087401,17
81,0.042288262826847826,18
82,0.044995427974054376,19
83,0.03999954930339208,20
84,0.15456030825826172,0
85,0.2028135432690167,1
86,0.15308616576836676,2
87,0.10858233492051148,3
88,0.10902775950003651,4
89,0.08296763942237666,5
90,0.04760952285695236,6
91,0.044927212695645494,7
92,0.08039606482378668,8
93,0.07781016494461045,9
94,0.074083350255838,10
95,0.0608385842482658,11
96,0.05530809082617808,12
97,0.048745661514115024,13
98,0.040909704042466265,14
99,0.03686522745635286,15
100,0.032805342189809225,16
101,0.03297223452134255,17
102,0.04601117549981121,18
103,0.05044910342598986,19
104,0.04318532223994321,20
105,0.13944333775567927,0
106,0.22075627586397925,1
107,0.1981204196449021,2
108,0.16832508230603463,3
109,0.1416646410485552,4
110,0.1099578545763671,5
111,0.11075498483890771,6
112,0.08221276585582991,7
113,0.05245584697447739,8
114,0.05387480237611791,9
115,0.060297519022361495,10
116,0.058423739467217725,11
117,0.05493480360811603,12
118,0.039366767332284405,13
119,0.03696798588746472,14
120,0.03149183286488869,15
121,0.029323436796839356,16
122,0.040750208569004145,17
123,0.04074422713351465,18
124,0.04439649737065384,19
125,0.0391798927838985,20
126,0.11785113019775792,0
127,0.22075627586397928,1
128,0.18753684445252586,2
129,0.15535701615677291,3
130,0.11794848761229436,4
131,0.12506408613597134,5
132,0.11333333333333338,6
133,0.10014407153415095,7
134,0.08377078165833912,8
135,0.059950849104829396,9
136,0.056993571310828064,10
137,0.049288267704732075,11
138,0.06609840110212871,12
139,0.07329783308203866,13
140,0.06826475158820941,14
141,0.06576525580063852,15
142,0.054423384329759995,16
143,0.06069558653225761,17
144,0.052329055466560415,18
145,0.047189501986768974,19
146,0.03966008447220618,20
147,0.14719601443879746,0
148,0.20720360357226736,1
149,0.2739854507284727,2
150,0.20875882475617707,3
151,0.1737608628706843,4
152,0.12740777691081903,5
153,0.09189365834726818,6
154,0.11813623789327113,7
155,0.10128445630779692,8
156,0.09816918156232526,9
157,0.08395170694470003,10
158,0.07502888332724496,11
159,0.06484126444448741,12
160,0.04769768717527917,13
161,0.03974860298768717,14
162,0.04427769453394686,15
163,0.04250650210365983,16
164,0.0360922984216399,17
165,0.03557547929618363,18
166,0.04337990755107027,19
167,0.041655397791094374,20
168,0.10801234497346433,0
169,0.1572683481611393,1
170,0.18173390130725128,2
171,0.1418571703867078,3
172,0.10116402413711276,4
173,0.1002462451401263,5
174,0.08755950357709136,6
175,0.07866387108202946,7
176,0.07126349477750843,8
177,0.06116777418411967,9
178,0.057241790313424634,10
179,0.0708048962525427,11
180,0.07499428419006145,12
181,0.08037762637722803,13
182,0.07157608275545219,14
183,0.0616203012353417,15
184,0.060933776922721866,16
185,0.05015194832330375,17
186,0.04558048419136202,18
187,0.0368957027473593,19
188,0.03993188720368849,20
189,0.2173067468400883,0
190,0.17473789896108205,1
191,0.14093951035189278,2
192,0.11194134266449937,3
193,0.13042629828277183,4
194,0.11287877283618025,5
195,0.09153020145163991,6
196,0.07631960963148456,7
197,0.08733248045370978,8
198,0.07795574068449954,9
199,0.0644642503370557,10
200,0.04822171018673367,11
201,0.03628873693012116,12
202,0.060941223640512965,13
203,0.05804957991884846,14
204,0.052530108555635516,15
205,0.04049019365615491,16
206,0.052743112251212504,17
207,0.0488863486280452,18
208,0.04289725514885504,19
209,0.04016820591637713,20
